Reggie Williams,Forward,"6'5""",195,2008,VMI,26,898.5,723.5,228,112.5,46.5,12,77,55,2
Trey Johnson,Guard,"6'5""",218,2008,JST,10.3333333333333,391.333333333333,273,46.6666666666667,27.6666666666667,9,0.666666666666667,36.6666666666667,19.6666666666667,1
Morris Almond,Guard,"6'6""",225,2007,RICE,14,479,369,92,16.5,15,11,47.5,31.5,1
Kevin Durant,Guard,"6'9""",230,2007,TEX,31,1129,812,352,38,61,54,86,62,1
Gary Neal,Guard,"6'4""",200,2007,TOWS,15,546,374.5,63,54.5,22,2.5,35.5,30.5,1
Rodney Stuckey,Guard,"6'5""",205,2007,EWSH,28,933,694,130,156,70,9,94,67,1
Gerald Brown,Guard,"6'4""",198,2008,LMAR,18.3333333333333,610,366.666666666667,91.3333333333333,39.3333333333333,26.3333333333333,5.66666666666667,62.3333333333333,64,2
Adrian Banks,Guard,"6'3""",200,2008,ARST,23.5,799.5,477,96,40,24.5,2,59,31.5,2
Stephen Curry,Guard,"6'3""",185,2009,DAV,31,1012,775.666666666667,139.333333333333,106.666666666667,63,7,87.6666666666667,75.6666666666667,3
Jaycee Carroll,Guard,"6'2""",175,2008,UTST,31,1142,679,190,62,30,6.5,73,60.5,2
Kyle Hines,Forward,"6'6""",230,2008,UNCG,27.5,879,556,250.5,31,43.5,74,79.5,77,2
Chris Lofton,Guard,"6'2""",200,2008,TENN,30,906.5,552.5,96,50,41,3,46.5,45.5,2
Alex Harris,Guard,"6'6""",185,2008,UCSB,27.5,927,564,118.5,53.5,25.5,3,72,55,2
Arizona Reid,Forward,"6'5""",205,2008,HPNT,28,982,633,287.5,62,40.5,14,68,78,2
Caleb Green,Forward,"6'8""",255,2007,ORU,16,553.5,333,146,37.5,20.5,6,62.5,45.5,1
Adam Haluska,Guard,"6'5""",210,2007,IOWA,29,998,598,134,72,41,8,45,49,1
Charron Fisher,Guard,"6'3""",225,2008,NIAG,27.5,976,666.5,243,31,35,15.5,80.5,71,2
DeAndre Rice,Guard,"6'3""",200,2007,FAU,21,719,430,74,49,32,1,62,53,1
Jason Thompson,Guard,"6'11""",250,2008,RIDR,30,1030.5,615,334,71.5,28,69,86,92,2
Larry Blair,Guard,"6'1""",185,2007,LIB,15,493,304,63,50.5,28.5,3,41,33.5,1
Loren Stokes,Guard,"6'3""",170,2009,HOF,10.3333333333333,389.333333333333,209.333333333333,58.6666666666667,31,12.3333333333333,3.33333333333333,26,20.6666666666667,1
Bobby Brown,Point,"6'2""",175,2007,CSFU,0,0,0,0,0,0,0,0,0,0
Nick Fazekas,Forward,"6'11""",215,2007,NEV,15,457,302,163,25.5,12,23,29.5,35,1
Antoine Agudio,Guard,"6'3""",185,2009,HOF,18.6666666666667,721.333333333333,392.666666666667,75.3333333333333,49.6666666666667,21.6666666666667,1.33333333333333,53,32,2
James Florence,Guard,"6'1""",186,2010,MERC,27,900.75,520.5,99.75,98.75,49.25,7.75,109.5,80.75,4
Dionte Christmas,Forward,"6'5""",205,2009,TEM,30,1064,586.333333333333,158.333333333333,75,41.3333333333333,7.33333333333333,78.6666666666667,78.6666666666667,3
Alando Tucker,Forward,"6'6""",205,2007,WISC,17,561,338.5,93,35.5,15.5,3,28,21.5,1
