Name,Position,Years,Height,Weight,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Draft_Status
QJ Peterson,Guard,3,72,185,31.6667,32.6316,19.4526,6.09474,2.4,1.55789,0.305263,2.47368,2.2,0
Andy Polka,Forward,5,79,240,25.2,28.6746,7.09524,7.3254,2.02381,0.626984,0.412698,1.66667,2.26984,0
Eric Wise,Forward,4,78,240,28,30.9464,14.4732,6.4375,2.07143,0.883929,0.339286,1.96429,2.71429,0
Brendan Westendorf,Guard,2,77,195,31,32.3387,13.5323,4.75806,3.98387,1.79032,0.112903,3.06452,2.04839,0
Michael Glover,Forward,2,79,215,23.3333,33.9571,18.3714,9.58571,0.942857,0.871429,1.02857,2.47143,2.84286,0
Gani Lawal,Forward,3,81,234,30.6667,24.337,11.7717,7.22826,0.445652,0.576087,1.32609,2.18478,2.42391,1
Chris Duncan,Forward,2,80,200,28.5,19.6316,6.31579,4.24561,0.701754,0.45614,1.7193,1.4386,2.08772,0
Neal Pitt,Forward,2,78,230,26.5,27.0755,11.8302,6.90566,0.622642,0.660377,0.339623,2.33962,2.92453,0
Corey Petros,Center,4,82,255,27,33.4593,12.1185,7.94815,1.28889,0.496296,0.362963,1.43704,2.52593,0
Brad Loesing,Guard,4,72,190,32.5,30.4385,8.18462,2.02308,3.66923,0.853846,0.0615385,2.29231,2.46923,0
Kenny Chery,Guard,2,71,180,33,29.9545,11.4242,2.84848,4.43939,1.12121,0.030303,2.30303,1.66667,0
Josh Terry,Guard,2,77,200,32.5,30.6,11.4769,4.13846,1.95385,1.86154,0.107692,2,2.52308,0
Sam McLaurin,Forward,5,80,220,27.4,23.2117,5.89781,5.56934,0.846715,0.452555,1.29197,1.05839,2.21898,0
Anton Grady,Forward,5,80,232,27,23.163,10.4741,6.41481,1.25185,0.955555,1.11111,1.75556,3.14074,0
Kennedy Meeks,Forward,4,82,277,36,21.1181,10.2917,7.30556,0.972222,0.6875,1.0625,1.29861,2.25,0
Michael Buchanan,Center,4,84,285,25.4,18.748,10.126,6.11024,0.858268,0.448819,0.771654,1.56693,2.33858,0
Chris Douglas-Roberts,Guard,2,79,200,35,27.6286,16.4143,3.54286,1.77143,1.17143,0.4,2,1.9,1
Tu Holloway,Guard,4,72,190,32.25,32.5039,13.907,3.24806,4.21705,1.24031,0.0852713,2.5969,1.97674,0
DeJuan Wright,Guard,2,76,185,25.5,32.8039,15.4706,7.21569,1.4902,1.56863,0.529412,2.72549,2.94118,0
Devoe Joseph,Guard,3,76,180,30.6667,25.6196,10.3587,2.77174,2.58696,1,0.0978261,1.82609,1.23913,0
Janari Joesaar,Forward,2,78,208,21.5,25.6744,12.814,5.2093,1.76744,1,0.418605,2.06977,2.09302,0
Robert Mitchell,Forward,3,78,180,28,27.631,12.9524,5.59524,1.28571,0.821429,0.785714,1.67857,2.57143,0
Eric McClellan,Guard,3,76,196,28,21.5238,8.03571,2.46429,1.80952,0.642857,0.178571,1.88095,1.60714,0
DeAndre Harris,Guard,3,75,200,15.6667,19.0213,10.4468,2.61702,1.3617,0.957447,0.12766,2.23404,2.55319,0
Scottie Reynolds,Guard,4,74,190,33.25,31.406,16.1278,2.8797,3.44361,1.4812,0.0977444,2.87218,2.27068,0
Desmond Holloway,Guard,1,75,167,26,32,18.5385,6.88462,1.73077,1.30769,0.346154,2.42308,2.19231,0
Terrence Jones,Forward,2,80,244,38,29.9868,14,8,1.46053,1.21053,1.81579,1.81579,2.39474,1
Tim Ambrose,Guard,4,72,220,30,25.0167,12.7333,4.625,2.53333,1.03333,0.116667,2.7,2.69167,0
Mark Payne,Guard,4,80,215,25.75,33.7087,12.7961,4.99029,3.97087,1.50485,0.330097,2.36893,1.52427,0
Jerime Anderson,Guard,4,74,183,31.75,21.4567,5.48031,1.82677,2.85827,0.968504,0.204724,1.58268,1.51181,0
Cameron Black,Forward,4,82,258,31.75,21.1496,4.64567,4.90551,0.677165,0.582677,1.2126,0.929134,2.28346,0
