

1,Greg Oden
2,Kevin Durant
3,Al Horford
4,Mike Conley
5,Jeff Green
6,Yi Jianlian
7,Corey Brewer
8,Brandan Wright
9,Joakim Noah
10,Spencer Hawes
11,Acie Law
12,Thaddeus Young
13,Julian Wright
14,Al Thornton
15,Rodney Stuckey
16,Nick Young
17,Sean Williams
18,Marco Belinelli
19,Javaris Crittenton
20,Jason Smith
21,Daequan Cook
22,Jared Dudley
23,Wilson Chandler
24,Rudy Fernandez
25,Morris Almond
26,Aaron Brooks
27,Arron Afflalo
28,Tiago Splitter
29,Alando Tucker
30,Petteri Koponen
31,Carl Landry
32,Gabe Pruitt
33,Marcus Williams
34,Nick Fazekas
35,Glen Davis
36,Jermareo Davidson
37,Josh McRoberts
38,Kyrylo Fesenko
39,Stanko Barac
40,Sun Yue
41,Chris Richard
42,Derrick Byars
43,Adam Haluska
44,Reyshawn Terry
45,Jared Jordan
46,Stephane Lasme
47,Dominic McGuire
48,Marc Gasol
49,Aaron Gray
50,Renaldas Seibutis
51,JamesOn Curry
52,Taurean Green
53,Demetris Nichols
54,Brad Newley
55,Herbert Hill
56,Ramon Sessions
57,Sammy Mejia
58,Giorgos Printezis
59,D.J. Strawberry
60,Milovan Rakovic
1,Derrick Rose
2,Michael Beasley
3,O.J. Mayo
4,Russell Westbrook
5,Kevin Love
6,Danilo Gallinari
7,Eric Gordon
8,Joe Alexander
9,D.J. Augustin
10,Brook Lopez
11,Jerryd Bayless
12,Jason Thompson
13,Brandon Rush
14,Anthony Randolph
15,Robin Lopez
16,Marreese Speights
17,Roy Hibbert
18,JaVale McGee
19,J.J. Hickson
20,Alexis Ajinca
21,Ryan Anderson
22,Courtney Lee
23,Kosta Koufos
24,Serge Ibaka
25,Nicolas Batum
26,George Hill
27,Darrell Arthur
28,Donte Greene
29,D.J. White
30,J.R. Giddens
31,Nikola Pekovic
32,Walter Sharpe
33,Joey Dorsey
34,Mario Chalmers
35,DeAndre Jordan
36,Omer Asik
37,Luc Mbah a Moute
38,Kyle Weaver
39,Sonny Weems
40,Chris Douglas-Roberts
41,Nathan Jawai
42,Sean Singletary
